call_number,file1,file2
ENA NS 28 012,ENA_NS_28_012_r.tif.jpg,ENA_NS_28_012_v.tif.jpg
ENA NS 28 013,ENA_NS_28_013_r.tif.jpg,ENA_NS_28_013_v.tif.jpg
ENA NS 28 014,ENA_NS_28_014_r.tif.jpg,ENA_NS_28_014_v.tif.jpg
ENA NS 28 015,ENA_NS_28_015_r.tif.jpg,ENA_NS_28_015_v.tif.jpg
ENA NS 28 016,ENA_NS_28_016_r.tif.jpg,ENA_NS_28_016_v.tif.jpg
ENA NS 28 017,ENA_NS_28_017_r.tif.jpg,ENA_NS_28_017_v.tif.jpg
ENA NS 28 018,ENA_NS_28_018_r.tif.jpg,ENA_NS_28_018_v.tif.jpg
ENA NS 28 019,ENA_NS_28_019_r.tif.jpg,ENA_NS_28_019_v.tif.jpg
ENA NS 28 020,ENA_NS_28_020_r.tif.jpg,ENA_NS_28_020_v.tif.jpg
ENA NS 28 021,ENA_NS_28_021_r.tif.jpg,ENA_NS_28_021_v.tif.jpg
ENA NS 28 022,ENA_NS_28_022_r.tif.jpg,ENA_NS_28_022_v.tif.jpg
ENA NS 28 023,ENA_NS_28_023_r.tif.jpg,ENA_NS_28_023_v.tif.jpg
ENA NS 28 024,ENA_NS_28_024_r.tif.jpg,ENA_NS_28_024_v.tif.jpg
ENA NS 28 025,ENA_NS_28_025_r.tif.jpg,ENA_NS_28_025_v.tif.jpg
ENA NS 28 026,ENA_NS_28_026_r.tif.jpg,ENA_NS_28_026_v.tif.jpg
ENA NS 28 027,ENA_NS_28_027_r.tif.jpg,ENA_NS_28_027_v.tif.jpg
ENA NS 28 028,ENA_NS_28_028_r.tif.jpg,ENA_NS_28_028_v.tif.jpg
ENA NS 28 029,ENA_NS_28_029_r.tif.jpg,ENA_NS_28_029_v.tif.jpg
ENA NS 28 030,ENA_NS_28_030_r.tif.jpg,ENA_NS_28_030_v.tif.jpg
ENA NS 28 031,ENA_NS_28_031_r.tif.jpg,ENA_NS_28_031_v.tif.jpg
ENA NS 28 032,ENA_NS_28_032_r.tif.jpg,ENA_NS_28_032_v.tif.jpg
ENA NS 28 033,ENA_NS_28_033_r.tif.jpg,ENA_NS_28_033_v.tif.jpg
ENA NS 28 034,ENA_NS_28_034_r.tif.jpg,ENA_NS_28_034_v.tif.jpg
ENA NS 28 035,ENA_NS_28_035_r.tif.jpg,ENA_NS_28_035_v.tif.jpg
ENA NS 76 001,ENA_NS_76_vol_1_001_r.tif.jpg,ENA_NS_76_vol_1_001_v.tif.jpg
ENA NS 76 002,ENA_NS_76_vol_1_002_r.tif.jpg,ENA_NS_76_vol_1_002_v.tif.jpg
ENA NS 76 003,ENA_NS_76_vol_1_003_r.tif.jpg,ENA_NS_76_vol_1_003_v.tif.jpg
ENA NS 76 004,ENA_NS_76_vol_1_004_r.tif.jpg,ENA_NS_76_vol_1_004_v.tif.jpg
ENA NS 76 005,ENA_NS_76_vol_1_005_r.tif.jpg,ENA_NS_76_vol_1_005_v.tif.jpg
ENA NS 76 0054,ENA_NS_76_vol_1_0054_r.tif.jpg,
ENA NS 76 0054,,
ENA NS 76 006,ENA_NS_76_vol_1_006_r.tif.jpg,ENA_NS_76_vol_1_006_v.tif.jpg
ENA NS 76 007,ENA_NS_76_vol_1_007_r.tif.jpg,ENA_NS_76_vol_1_007_v.tif.jpg
ENA NS 76 008.1,ENA_NS_76_vol_1_008.1_r.tif.jpg,ENA_NS_76_vol_1_008.1_v.tif.jpg
ENA NS 76 008.2,ENA_NS_76_vol_1_008.2_r.tif.jpg,ENA_NS_76_vol_1_008.2_v.tif.jpg
ENA NS 76 009,ENA_NS_76_vol_1_009_r.tif.jpg,ENA_NS_76_vol_1_009_v.tif.jpg
ENA NS 76 010,ENA_NS_76_vol_1_010_r.tif.jpg,ENA_NS_76_vol_1_010_v.tif.jpg
ENA NS 76 011,ENA_NS_76_vol_1_011_r.tif.jpg,ENA_NS_76_vol_1_011_v.tif.jpg
ENA NS 76 012,ENA_NS_76_vol_1_012_r.tif.jpg,ENA_NS_76_vol_1_012_v.tif.jpg
ENA NS 76 013,ENA_NS_76_vol_1_013_r.tif.jpg,ENA_NS_76_vol_1_013_v.tif.jpg
ENA NS 76 014,ENA_NS_76_vol_1_014_r.tif.jpg,ENA_NS_76_vol_1_014_v.tif.jpg
ENA NS 76 015,ENA_NS_76_vol_1_015_r.tif.jpg,ENA_NS_76_vol_1_015_v.tif.jpg
ENA NS 76 016,ENA_NS_76_vol_1_016_r.tif.jpg,ENA_NS_76_vol_1_016_v.tif.jpg
ENA NS 76 017,ENA_NS_76_vol_1_017_r.tif.jpg,ENA_NS_76_vol_1_017_v.tif.jpg
ENA NS 76 018,ENA_NS_76_vol_1_018_r.tif.jpg,ENA_NS_76_vol_1_018_v.tif.jpg
ENA NS 76 019,ENA_NS_76_vol_1_019_r.tif.jpg,ENA_NS_76_vol_1_019_v.tif.jpg
ENA NS 76 020,ENA_NS_76_vol_1_020_r.tif.jpg,ENA_NS_76_vol_1_020_v.tif.jpg
ENA NS 76 021,ENA_NS_76_vol_1_021_r.tif.jpg,ENA_NS_76_vol_1_021_v.tif.jpg
ENA NS 76 022,ENA_NS_76_vol_1_022_r.tif.jpg,ENA_NS_76_vol_1_022_v.tif.jpg
ENA NS 76 023,ENA_NS_76_vol_1_023_r.tif.jpg,ENA_NS_76_vol_1_023_v.tif.jpg
ENA NS 76 024,ENA_NS_76_vol_1_024_r.tif.jpg,ENA_NS_76_vol_1_024_v.tif.jpg
